Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
best3deals,com.group5.best3deals.admin.controller,AdminController,AdminController,3,1,1,23,0,,
best3deals,com.group5.best3deals.admin.controller,AdminController,getAllUsers,4,1,0,27,0,,
best3deals,com.group5.best3deals.admin.controller,AdminController,updateUser,9,1,2,34,0,,
best3deals,com.group5.best3deals.admin.controller,AdminController,deleteUser,4,1,1,51,0,,
best3deals,com.group5.best3deals,Best3dealsApplication,main,3,1,1,8,0,,
best3deals,com.group5.best3deals.brand.controller,BrandController,getAllBrands,3,1,0,26,0,,
best3deals,com.group5.best3deals.brand.controller,BrandController,getBrandById,3,1,1,33,0,,
best3deals,com.group5.best3deals.brand.controller,BrandController,createBrand,3,1,1,40,0,,
best3deals,com.group5.best3deals.brand.controller,BrandController,updateFlyer,3,1,2,47,0,,
best3deals,com.group5.best3deals.brand.controller,BrandController,deleteBrand,4,1,1,54,0,,
best3deals,com.group5.best3deals.brand.entity,Brand,Brand,5,1,3,22,0,,
best3deals,com.group5.best3deals.brand.service,BrandService,getBrandById,3,1,1,20,0,,
best3deals,com.group5.best3deals.brand.service,BrandService,getAllBrands,3,1,0,25,0,,
best3deals,com.group5.best3deals.brand.service,BrandService,createBrand,5,1,1,30,0,,
best3deals,com.group5.best3deals.brand.service,BrandService,updateBrand,6,1,2,42,0,com.group5.best3deals.brand.service.BrandService,com.group5.best3deals.brand.service.BrandService
best3deals,com.group5.best3deals.brand.service,BrandService,deleteBrand,6,2,1,57,0,,
best3deals,com.group5.best3deals.category.controller,CategoryController,getCategories,3,1,0,26,0,,
best3deals,com.group5.best3deals.category.controller,CategoryController,getCategoryById,3,1,1,33,0,,
best3deals,com.group5.best3deals.category.service,CategoryService,getCategoryById,3,1,1,17,0,,
best3deals,com.group5.best3deals.category.service,CategoryService,getAllCategories,3,1,0,23,0,,
best3deals,com.group5.best3deals.common.dto.response,ApiResponse,ApiResponse,4,1,1,11,0,,
best3deals,com.group5.best3deals.common.dto.response,ApiResponse,ApiResponse,4,1,2,16,0,,
best3deals,com.group5.best3deals.common.dto.response,ApiResponse,ApiResponse,5,1,2,21,0,,
best3deals,com.group5.best3deals.common.dto.response,ApiResponse,ApiResponse,5,1,3,27,0,,
best3deals,com.group5.best3deals.config,ApplicationConfiguration,ApplicationConfiguration,3,1,1,18,0,,
best3deals,com.group5.best3deals.config,ApplicationConfiguration,userDetailsService,3,1,0,22,0,,
best3deals,com.group5.best3deals.config,ApplicationConfiguration,passwordEncoder,3,1,0,28,0,,
best3deals,com.group5.best3deals.config,ApplicationConfiguration,authenticationManager,3,1,1,33,0,,
best3deals,com.group5.best3deals.config,ApplicationConfiguration,authenticationProvider,6,1,0,38,0,com.group5.best3deals.config.ApplicationConfiguration,com.group5.best3deals.config.ApplicationConfiguration
best3deals,com.group5.best3deals.config,EmailConfiguration,javaMailSender,13,1,0,32,0,,
best3deals,com.group5.best3deals.config,JwtAuthenticationFilter,JwtAuthenticationFilter,5,1,3,28,0,,
best3deals,com.group5.best3deals.config,JwtAuthenticationFilter,doFilterInternal,24,4,3,38,0,,
best3deals,com.group5.best3deals.config,S3Config,amazonS3Client,4,1,0,24,0,,
best3deals,com.group5.best3deals.config,SecurityConfiguration,SecurityConfiguration,4,1,2,26,0,,
best3deals,com.group5.best3deals.config,SecurityConfiguration,securityFilterChain,4,1,1,34,0,,
best3deals,com.group5.best3deals.config,SecurityConfiguration,corsConfigurationSource,10,1,0,78,0,,
best3deals,com.group5.best3deals.config,SwaggerConfig,customOpenAPI,3,1,0,25,0,,
best3deals,com.group5.best3deals.config,WebConfig,addResourceHandlers,3,1,1,8,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,AuthenticationController,4,1,2,26,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,register,4,1,1,31,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,authenticate,6,1,1,38,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,verifyUser,9,1,1,47,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,resendVerificationCode,9,1,1,58,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,requestPasswordReset,4,1,1,70,0,,
best3deals,com.group5.best3deals.controller,AuthenticationController,resetPassword,4,1,1,77,0,,
best3deals,com.group5.best3deals.exception,GlobalExceptionHandler,handleNoSuchElementException,4,1,1,20,0,,
best3deals,com.group5.best3deals.exception,GlobalExceptionHandler,handleIllegalArgumentException,4,1,1,26,0,,
best3deals,com.group5.best3deals.exception,GlobalExceptionHandler,handleValidationExceptions,5,1,1,33,0,,
best3deals,com.group5.best3deals.exception,GlobalExceptionHandler,handleConstraintViolationExceptions,5,1,1,45,0,,
best3deals,com.group5.best3deals.exception,GlobalExceptionHandler,handleGlobalExceptions,3,1,1,57,0,,
best3deals,com.group5.best3deals.exception,UserNotFoundException,UserNotFoundException,3,1,1,4,0,,
best3deals,com.group5.best3deals.file.controller,FileController,uploadFile,9,1,1,27,0,,
best3deals,com.group5.best3deals.file.service,FileService,upload,6,1,1,20,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,getAllFlyers,3,1,0,32,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,getFlyerById,3,1,1,39,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,createFlyer,3,1,1,46,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,updateFlyer,3,1,2,53,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,deleteFlyer,4,1,1,60,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,getFlyersByStoreId,3,1,1,68,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,getAllFlyerProductByProductId,3,1,1,76,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,addFlyerProduct,3,1,1,85,0,,
best3deals,com.group5.best3deals.flyer.controller,FlyerController,updateFlyerProduct,3,1,2,94,0,,
