Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
best3deals,com.group5.best3deals.admin.controller,AdminController,1,0,4,4,23,4,0,0,0.0,0,3,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\admin\controller\AdminController.java,15
best3deals,com.group5.best3deals,Best3dealsApplication,0,0,1,1,5,1,0,0,-1.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\Best3dealsApplication.java,6
best3deals,com.group5.best3deals.brand.controller,BrandController,1,0,5,5,19,5,0,0,0.0,0,3,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\controller\BrandController.java,19
best3deals,com.group5.best3deals.brand.dto.request,BrandPutRequest,2,0,0,0,4,0,0,0,-1.0,2,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\dto\request\BrandPutRequest.java,6
best3deals,com.group5.best3deals.brand.dto.request,BrandRequest,2,0,0,0,4,0,0,0,-1.0,2,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\dto\request\BrandRequest.java,7
best3deals,com.group5.best3deals.brand.dto.response,BrandResponse,3,0,0,0,5,0,0,0,-1.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\dto\response\BrandResponse.java,6
best3deals,com.group5.best3deals.brand.entity,Brand,3,0,1,1,10,1,0,0,0.0,1,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\entity\Brand.java,8
best3deals,com.group5.best3deals.brand.repository,BrandRepository,0,0,0,0,2,0,0,0,-1.0,1,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\repository\BrandRepository.java,7
best3deals,com.group5.best3deals.brand.service,BrandService,1,0,5,5,26,6,0,0,0.0,1,4,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\brand\service\BrandService.java,15
best3deals,com.group5.best3deals.category.controller,CategoryController,1,0,2,2,9,2,0,0,0.0,0,1,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\category\controller\CategoryController.java,19
best3deals,com.group5.best3deals.category.entity,Category,2,0,0,0,4,0,0,0,-1.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\category\entity\Category.java,7
best3deals,com.group5.best3deals.category.repository,CategoryRepository,0,0,0,0,2,0,0,0,-1.0,1,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\category\repository\CategoryRepository.java,7
best3deals,com.group5.best3deals.category.service,CategoryService,1,0,2,2,9,2,0,0,0.0,1,1,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\category\service\CategoryService.java,12
best3deals,com.group5.best3deals.common.dto.response,ApiResponse,3,0,4,4,23,4,0,0,0.0,1,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\common\dto\response\ApiResponse.java,5
best3deals,com.group5.best3deals.config,ApplicationConfiguration,1,0,5,5,21,5,0,0,0.4,0,1,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\ApplicationConfiguration.java,14
best3deals,com.group5.best3deals.config,EmailConfiguration,6,0,1,1,21,1,0,0,0.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\EmailConfiguration.java,11
best3deals,com.group5.best3deals.config,JwtAuthenticationFilter,3,0,2,1,34,5,0,0,0.0,1,1,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\JwtAuthenticationFilter.java,21
best3deals,com.group5.best3deals.config,S3Config,3,0,1,1,9,1,0,0,0.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\S3Config.java,12
best3deals,com.group5.best3deals.config,SecurityConfiguration,2,0,3,3,22,3,0,0,0.6666666666666666,0,1,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\SecurityConfiguration.java,19
best3deals,com.group5.best3deals.config,SwaggerConfig,0,0,1,1,5,1,0,0,-1.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\SwaggerConfig.java,13
best3deals,com.group5.best3deals.config,WebConfig,0,0,1,1,5,1,0,0,-1.0,0,0,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\config\WebConfig.java,6
best3deals,com.group5.best3deals.controller,AuthenticationController,2,0,7,7,44,7,0,0,0.0,0,9,D:\Dalhousie University\1st Semester\CSCI5308 Advance Software Dev Concepts\Project\group05\backend\.\src\main\java\com\group5\best3deals\controller\AuthenticationController.java,18
